trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 13.6733, 5.3832, 10, 1.6256, 80, 200, -1.4977, 2.4227, 0.7978, -1.5551, 0.5632, 1.2450, -1.6023, 1.8199, 0.9769
2, 16.1454, 6.3564, 10, 1.6256, 80, 200, -1.4978, 2.4228, 0.7979, -1.5589, 0.5213, 1.2680, -1.6014, 1.6316, 1.0467
3, 17.9736, 7.0762, 10, 1.6256, 80, 200, -1.4973, 2.4230, 0.7976, -1.5579, 0.5178, 1.2671, -1.6027, 1.6251, 1.0621
4, 18.1014, 7.1265, 10, 1.6256, 80, 200, -1.4974, 2.4229, 0.7976, -1.5539, 0.5101, 1.2711, -1.6074, 1.5851, 1.0608
5, 18.6097, 7.3267, 10, 1.6256, 80, 200, -1.4975, 2.4228, 0.7974, -1.5584, 0.5193, 1.2673, -1.6119, 1.5622, 1.0636
6, 15.7884, 6.2159, 10, 1.6256, 80, 200, -1.4974, 2.4229, 0.7976, -1.5566, 0.5244, 1.2662, -1.5920, 1.6187, 1.0554
7, 13.1191, 5.1650, 10, 1.6256, 80, 200, -1.4976, 2.4227, 0.7978, -1.5565, 0.5355, 1.2599, -1.5914, 1.6435, 1.0222
8, 16.6882, 6.5702, 10, 1.6256, 80, 200, -1.4973, 2.4230, 0.7974, -1.5573, 0.5213, 1.2658, -1.5909, 1.5098, 1.0806
9, 16.0825, 6.3317, 10, 1.6256, 80, 200, -1.4982, 2.4229, 0.7977, -1.5605, 0.5182, 1.2689, -1.5981, 1.4865, 1.0731
10, 15.8439, 6.2378, 10, 1.6256, 80, 200, -1.4977, 2.4230, 0.7975, -1.5566, 0.5332, 1.2617, -1.5916, 1.7356, 1.0372
