trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 46.6783, 18.3773, 10, 1.6256, 80, 300, -1.4973, 2.4229, 0.7976, -1.5735, -0.4427, 1.2848, -1.6125, 0.0384, 1.2618
2, 38.8361, 15.2898, 10, 1.6256, 80, 300, -1.4975, 2.4229, 0.7976, -1.5706, -0.4535, 1.2889, -1.5970, 0.0074, 1.2594
3, 47.3066, 18.6247, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7977, -1.5744, -0.4650, 1.2959, -1.5995, -0.1244, 1.2813
4, 40.1645, 15.8128, 10, 1.6256, 80, 300, -1.4978, 2.4229, 0.7977, -1.5790, -0.5046, 1.3089, -1.6061, -0.0781, 1.2781
5, 41.1760, 16.2110, 10, 1.6256, 80, 300, -1.4973, 2.4230, 0.7976, -1.5802, -0.4864, 1.3056, -1.6094, -0.0255, 1.2748
6, 36.2694, 14.2793, 10, 1.6256, 80, 300, -1.4973, 2.4229, 0.7977, -1.5790, -0.4938, 1.3092, -1.6063, -0.0206, 1.2689
7, 37.3463, 14.7032, 10, 1.6256, 80, 300, -1.4977, 2.4228, 0.7980, -1.5849, -0.4949, 1.3143, -1.6140, -0.0116, 1.2727
8, 33.4732, 13.1784, 10, 1.6256, 80, 300, -1.4980, 2.4228, 0.7978, -1.5826, -0.4774, 1.3047, -1.6091, 0.0932, 1.2547
9, 149.1117, 58.7054, 10, 1.6256, 80, 300, -1.4974, 2.4229, 0.7975, -1.6655, -0.2437, 1.3854, -1.6650, -0.1792, 1.3201
10, 34.6485, 13.6412, 10, 1.6256, 80, 300, -1.4978, 2.4229, 0.7977, -1.5805, -0.4950, 1.3142, -1.6097, 0.0181, 1.2657
