trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 4.7665, 1.8766, 10, 1.6256, 80, 100, -1.4968, 2.4232, 0.7979, -1.4853, 1.7564, 0.9017, -1.4968, 1.9835, 0.8515
2, 38.6660, 15.2228, 10, 1.6256, 80, 100, -1.4970, 2.4231, 0.7977, -1.4103, 2.1608, 0.5150, -1.4948, 1.8485, 0.9329
3, 45.5046, 17.9152, 10, 1.6256, 80, 100, -1.4970, 2.4230, 0.7978, -1.4461, 1.9834, 0.6867, -1.4920, 1.9116, 0.8851
4, 44.0196, 17.3306, 10, 1.6256, 80, 100, -1.4968, 2.4231, 0.7979, -1.4449, 1.9989, 0.6660, -1.5002, 1.8510, 0.9333
5, 51.4873, 20.2706, 10, 1.6256, 80, 100, -1.4968, 2.4232, 0.7979, -1.4495, 1.9002, 0.7339, -1.4926, 1.9138, 0.8786
6, 36.2786, 14.2829, 10, 1.6256, 80, 100, -1.4971, 2.4229, 0.7982, -1.3984, 2.3426, 0.3457, -1.5069, 1.7943, 0.9754
7, 23.3359, 9.1874, 10, 1.6256, 80, 100, -1.4973, 2.4227, 0.7981, -1.4891, 1.6378, 0.9898, -1.4766, 2.0716, 0.7354
8, 37.6219, 14.8118, 10, 1.6256, 80, 100, -1.4968, 2.4232, 0.7979, -1.1263, 4.3040, -2.0086, -1.4711, 2.1320, 0.5610
9, 39.6271, 15.6012, 10, 1.6256, 80, 100, -1.4969, 2.4231, 0.7978, -1.4145, 2.1748, 0.4796, -1.4953, 1.8262, 0.9361
10, 43.9500, 17.3031, 10, 1.6256, 80, 100, -1.4969, 2.4231, 0.7979, -1.4525, 1.9131, 0.7326, -1.4835, 1.9562, 0.8283
