trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 9.3778, 3.6921, 10, 1.6256, 80, 100, -1.4988, 2.4220, 0.7975, -1.5013, 1.5409, 1.1313, -1.4577, 2.0729, 0.8863
2, 9.0341, 3.5567, 10, 1.6256, 80, 100, -1.4987, 2.4220, 0.7974, -1.4993, 1.5464, 1.1253, -1.4645, 2.0420, 0.8969
3, 11.1258, 4.3802, 10, 1.6256, 80, 100, -1.4985, 2.4222, 0.7975, -1.5027, 1.5451, 1.1358, -1.4499, 2.1074, 0.8599
4, 31.1086, 12.2475, 10, 1.6256, 80, 100, -1.4986, 2.4220, 0.7974, -1.5378, 1.9389, 0.9733, -1.5249, 2.0166, 0.8526
5, 12.9429, 5.0956, 10, 1.6256, 80, 100, -1.4989, 2.4219, 0.7974, -1.5055, 1.5557, 1.1366, -1.4395, 2.1729, 0.8135
6, 14.3519, 5.6503, 10, 1.6256, 80, 100, -1.4992, 2.4219, 0.7976, -1.4969, 1.6131, 1.0862, -1.4302, 2.2732, 0.7397
7, 11.9322, 4.6977, 10, 1.6256, 80, 100, -1.4990, 2.4218, 0.7975, -1.4920, 1.6250, 1.0745, -1.4382, 2.1748, 0.8167
8, 12.8663, 5.0655, 10, 1.6256, 80, 100, -1.4990, 2.4219, 0.7973, -1.5038, 1.5696, 1.1236, -1.4391, 2.1815, 0.8080
9, 13.1302, 5.1694, 10, 1.6256, 80, 100, -1.4991, 2.4218, 0.7973, -1.5000, 1.5847, 1.1075, -1.4436, 2.1582, 0.8127
10, 14.9002, 5.8662, 10, 1.6256, 80, 100, -1.4991, 2.4221, 0.7974, -1.4920, 1.6370, 1.0693, -1.4383, 2.1792, 0.7826
