trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 85.1417, 33.5204, 10, 1.6764, 80, 400, -1.4984, 2.4218, 0.7980, -1.5504, -1.3672, 1.3356, -1.6351, -0.6121, 1.3700
2, 89.8895, 35.3896, 10, 1.6764, 80, 400, -1.4985, 2.4218, 0.7979, -1.5478, -1.3688, 1.3273, -1.6186, -0.7706, 1.3630
3, 96.0787, 37.8263, 10, 1.6764, 80, 400, -1.4988, 2.4218, 0.7981, -1.5556, -1.3670, 1.3291, -1.6350, -0.7826, 1.3679
4, 72.3870, 28.4988, 10, 1.6764, 80, 400, -1.4984, 2.4218, 0.7979, -1.5575, -1.3960, 1.3414, -1.6540, -0.5647, 1.3373
5, 94.9125, 37.3671, 10, 1.6764, 80, 400, -1.4991, 2.4219, 0.7978, -1.5592, -1.3639, 1.3262, -1.6427, -0.7501, 1.3646
6, 92.6654, 36.4825, 10, 1.6764, 80, 400, -1.4985, 2.4218, 0.7978, -1.5622, -1.3764, 1.3340, -1.6469, -0.7160, 1.3718
7, 97.8509, 38.5240, 10, 1.6764, 80, 400, -1.4987, 2.4218, 0.7980, -1.5602, -1.3646, 1.3301, -1.6325, -0.7799, 1.3766
8, 93.3293, 36.7438, 10, 1.6764, 80, 400, -1.4986, 2.4217, 0.7979, -1.5606, -1.3852, 1.3341, -1.6350, -0.7848, 1.3716
9, 97.2724, 38.2962, 10, 1.6764, 80, 400, -1.4987, 2.4219, 0.7981, -1.5579, -1.3768, 1.3303, -1.6284, -0.7938, 1.3764
10, 93.2865, 36.7270, 10, 1.6764, 80, 400, -1.4985, 2.4221, 0.7979, -1.5608, -1.3706, 1.3296, -1.6503, -0.6972, 1.3685
