trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 6.5958, 2.5968, 10, 1.6764, 80, 100, -1.4992, 2.4219, 0.7964, -1.5241, 1.5595, 1.2224, -1.5373, 3.8977, -0.1170
2, 7.7581, 3.0544, 10, 1.6764, 80, 100, -1.4991, 2.4220, 0.7964, -1.5201, 1.5810, 1.1988, -1.5185, 3.7696, -0.0737
3, 6.1309, 2.4137, 10, 1.6764, 80, 100, -1.4994, 2.4218, 0.7962, -1.5223, 1.5987, 1.1844, -1.5356, 2.8835, 0.4846
4, 3.9990, 1.5744, 10, 1.6764, 80, 100, -1.4993, 2.4218, 0.7963, -1.5247, 1.5812, 1.2071, -1.5421, 2.8280, 0.5727
5, 4.0927, 1.6113, 10, 1.6764, 80, 100, -1.4936, 2.4189, 0.7981, -1.5216, 1.5849, 1.2108, -1.5338, 2.7084, 0.6806
6, 88.0251, 34.6556, 10, 1.6764, 80, 100, -1.4937, 2.4190, 0.7983, -1.4243, 1.5051, 1.0556, -1.5502, 1.6705, 1.2632
7, 5.5863, 2.1993, 10, 1.6764, 80, 100, -1.4934, 2.4189, 0.7984, -1.5166, 1.6016, 1.1981, -1.5319, 2.4640, 0.8234
8, 3.6484, 1.4364, 10, 1.6764, 80, 100, -1.4939, 2.4186, 0.7983, -1.5175, 1.5923, 1.2008, -1.5337, 2.6502, 0.6913
9, 3.6024, 1.4183, 10, 1.6764, 80, 100, -1.4938, 2.4186, 0.7984, -1.5178, 1.6057, 1.1899, -1.5293, 3.1606, 0.3980
10, 2.8497, 1.1219, 10, 1.6764, 80, 100, -1.4935, 2.4189, 0.7983, -1.5204, 1.5872, 1.2067, -1.5227, 2.8664, 0.5741
