trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 71.6356, 28.2030, 10, 1.6764, 80, 400, -1.4986, 2.4218, 0.7978, -1.5379, -1.3035, 1.2723, -1.5744, -0.1837, 0.9085
2, 61.1787, 24.0861, 10, 1.6764, 80, 400, -1.4986, 2.4218, 0.7979, -1.5393, -1.3018, 1.2715, -1.5748, -0.5125, 1.0436
3, 56.7058, 22.3251, 10, 1.6764, 80, 400, -1.4984, 2.4218, 0.7980, -1.5413, -1.3372, 1.2895, -1.5778, -0.6625, 1.1056
4, 67.3908, 26.5318, 10, 1.6764, 80, 400, -1.4985, 2.4218, 0.7979, -1.5416, -1.3482, 1.2941, -1.5776, -0.3180, 0.9716
5, 65.3056, 25.7109, 10, 1.6764, 80, 400, -1.4986, 2.4219, 0.7980, -1.5430, -1.2989, 1.2656, -1.5900, -0.2158, 0.9404
6, 64.9626, 25.5758, 10, 1.6764, 80, 400, -1.4985, 2.4219, 0.7981, -1.5452, -1.3090, 1.2722, -1.5908, -0.2498, 0.9543
7, 61.4310, 24.1854, 10, 1.6764, 80, 400, -1.4984, 2.4219, 0.7978, -1.5505, -1.3514, 1.2916, -1.5981, -0.4131, 1.0220
8, 68.6823, 27.0403, 10, 1.6764, 80, 400, -1.4987, 2.4219, 0.7980, -1.5543, -1.3587, 1.2978, -1.5974, -0.1279, 0.9089
9, 72.7839, 28.6551, 10, 1.6764, 80, 400, -1.4985, 2.4218, 0.7978, -1.5565, -1.3930, 1.3168, -1.6178, 0.5373, 0.6772
10, 54.7116, 21.5400, 10, 1.6764, 80, 400, -1.4986, 2.4219, 0.7980, -1.5479, -1.3189, 1.2768, -1.5958, -0.4574, 1.0506
