trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 27.6203, 10.8741, 10, 1.6764, 80, 100, -2.8627, 2.3918, 0.7981, -1.8314, 1.6034, 1.2630, -2.8092, 2.4290, 0.4945
2, 24.9498, 9.8228, 10, 1.6764, 80, 100, -2.8628, 2.3917, 0.7980, -1.8439, 1.6098, 1.2572, -2.8682, 2.4489, 0.4901
3, 22.6784, 8.9285, 10, 1.6764, 80, 100, -2.8627, 2.3918, 0.7981, -1.8362, 1.6067, 1.2633, -2.6355, 2.2510, 0.6893
4, 25.6491, 10.0981, 10, 1.6764, 80, 100, -2.8879, 2.4005, 0.7913, -1.8403, 1.6066, 1.2625, -2.9906, 2.5399, 0.4015
5, 22.8900, 9.0118, 10, 1.6764, 80, 100, -2.8626, 2.3917, 0.7982, -1.8434, 1.6103, 1.2548, -2.5656, 2.1766, 0.7414
6, 22.2354, 8.7541, 10, 1.6764, 80, 100, -2.8625, 2.3918, 0.7981, -1.8331, 1.6033, 1.2624, -2.5489, 2.1588, 0.7605
7, 26.1042, 10.2772, 10, 1.6764, 80, 100, -2.8627, 2.3915, 0.7980, -1.8242, 1.5941, 1.2747, -3.3618, 2.8401, 0.0988
8, 25.2152, 9.9272, 10, 1.6764, 80, 100, -2.8882, 2.4004, 0.7911, -1.8382, 1.6113, 1.2548, -2.6567, 2.2700, 0.6548
9, 26.9606, 10.6144, 10, 1.6764, 80, 100, -2.8885, 2.3988, 0.7912, -1.8218, 1.5923, 1.2784, -3.0624, 2.5932, 0.3275
10, 25.4069, 10.0027, 10, 1.6764, 80, 100, -2.8626, 2.3918, 0.7980, -1.8472, 1.6147, 1.2511, -2.8026, 2.3670, 0.5410
