trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 101.1089, 39.8066, 10, 1.6764, 80, 200, -0.5002, 2.3987, 0.8047, -1.2313, 0.7685, 1.1482, -1.3582, 0.6028, 1.3399
2, 89.9098, 35.3976, 10, 1.6764, 80, 200, -0.5011, 2.3984, 0.8053, -1.2261, 0.7748, 1.1450, -1.3797, 0.5589, 1.3581
3, 83.8544, 33.0135, 10, 1.6764, 80, 200, -0.5002, 2.3987, 0.8047, -1.1681, 0.8673, 1.0881, -1.3621, 0.5928, 1.3446
4, 90.4127, 35.5956, 10, 1.6764, 80, 200, -0.5012, 2.3983, 0.8053, -1.2224, 0.7934, 1.1357, -1.3714, 0.5812, 1.3485
5, 147.3961, 58.0300, 10, 1.6764, 80, 200, -0.5012, 2.3984, 0.8054, -1.2793, 0.6877, 1.1969, -1.3389, 0.6381, 1.3207
6, 104.0864, 40.9789, 10, 1.6764, 80, 200, -0.5013, 2.3983, 0.8053, -1.2660, 0.7103, 1.1893, -1.3738, 0.5698, 1.3549
7, 136.2354, 53.6360, 10, 1.6764, 80, 200, -0.5012, 2.3984, 0.8052, -1.2744, 0.6972, 1.1993, -1.3421, 0.6330, 1.3274
8, 97.4130, 38.3516, 10, 1.6764, 80, 200, -0.5011, 2.3984, 0.8053, -1.2934, 0.6634, 1.2223, -1.2573, 0.7945, 1.2618
9, 136.3874, 53.6958, 10, 1.6764, 80, 200, -0.5012, 2.3984, 0.8053, -1.3062, 0.6445, 1.2295, -1.2901, 0.7350, 1.2803
10, 60.2998, 23.7401, 10, 1.6764, 80, 200, -0.5002, 2.3987, 0.8048, -1.3125, 0.6365, 1.2329, -1.2520, 0.8137, 1.2467
