trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 343.3484, 135.1766, 10, 1.6764, 80, 400, -0.4996, 2.3982, 0.8068, -1.3609, -1.2271, 1.2041, -1.4028, -1.2569, 1.3197
2, 190.2896, 74.9172, 10, 1.6764, 80, 400, -0.4998, 2.3982, 0.8068, -0.9430, 0.3273, 0.1015, -1.0198, 0.3964, 0.1205
3, 238.4025, 93.8593, 10, 1.6764, 80, 400, -0.4996, 2.3982, 0.8069, -1.3397, -1.1573, 1.1805, -1.4163, -1.3037, 1.3419
4, 81.3644, 32.0332, 10, 1.6764, 80, 400, -0.4997, 2.3982, 0.8068, -1.3890, -1.3182, 1.2540, -1.3529, -1.0811, 1.2731
5, 288.8149, 113.7066, 10, 1.6764, 80, 400, -0.4997, 2.3982, 0.8068, -1.3810, -1.2822, 1.2370, -1.3895, -1.1971, 1.3076
6, 373.0049, 146.8523, 10, 1.6764, 80, 400, -0.4997, 2.3982, 0.8067, -1.3689, -1.2327, 1.2141, -1.3926, -1.2042, 1.3086
7, 350.2536, 137.8951, 10, 1.6764, 80, 400, -0.4998, 2.3983, 0.8066, -1.3685, -1.2299, 1.2122, -1.4088, -1.2535, 1.3272
8, 190.1166, 74.8491, 10, 1.6764, 80, 400, -0.4997, 2.3982, 0.8067, -1.3967, -1.3082, 1.2510, -1.3890, -1.1776, 1.3019
9, 21.1165, 8.3136, 10, 1.6764, 80, 400, -0.4997, 2.3982, 0.8068, -1.4220, -1.3718, 1.2865, -1.3473, -0.9970, 1.2518
10, 40.0607, 15.7719, 10, 1.6764, 80, 400, -0.4997, 2.3982, 0.8067, -1.4152, -1.3457, 1.2721, -1.3568, -1.0290, 1.2611
