trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 39.7708, 15.6578, 10, 1.6764, 80, 500, -1.4982, 2.4228, 0.7977, -1.5392, -2.3496, 1.3173, -1.5576, -1.3522, 1.1286
2, 34.7071, 13.6642, 10, 1.6764, 80, 500, -1.4978, 2.4227, 0.7978, -1.5408, -2.3672, 1.3269, -1.5555, -1.2968, 1.1338
3, 40.2852, 15.8603, 10, 1.6764, 80, 500, -1.4977, 2.4228, 0.7977, -1.5390, -2.3765, 1.3310, -1.5550, -0.8926, 1.0426
4, 29.6072, 11.6564, 10, 1.6764, 80, 500, -1.4975, 2.4227, 0.7978, -1.5368, -2.3730, 1.3314, -1.5649, -1.4898, 1.1908
5, 40.5063, 15.9474, 10, 1.6764, 80, 500, -1.4979, 2.4227, 0.7978, -1.5381, -2.3532, 1.3235, -1.5656, -1.3423, 1.1329
6, 33.3745, 13.1396, 10, 1.6764, 80, 500, -1.4977, 2.4228, 0.7978, -1.5354, -2.3616, 1.3250, -1.5607, -1.4938, 1.1772
7, 51.7850, 20.3878, 10, 1.6764, 80, 500, -1.4977, 2.4228, 0.7976, -1.5309, -2.4013, 1.3414, -1.5601, -1.1480, 1.0678
8, 43.4392, 17.1020, 10, 1.6764, 80, 500, -1.4977, 2.4227, 0.7976, -1.5284, -2.3545, 1.3188, -1.5626, -1.3916, 1.1344
9, 42.6838, 16.8046, 10, 1.6764, 80, 500, -1.4977, 2.4228, 0.7978, -1.5301, -2.3646, 1.3233, -1.5621, -1.3549, 1.1295
10, 34.4104, 13.5474, 10, 1.6764, 80, 500, -1.4976, 2.4227, 0.7975, -1.5314, -2.3476, 1.3151, -1.5624, -1.5795, 1.1892
