trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 43.7799, 17.2362, 10, 1.6764, 80, 400, -2.8865, 2.3993, 0.7918, -1.6519, -1.3036, 1.3136, -1.9608, -0.4732, 1.0976
2, 49.9131, 19.6508, 10, 1.6764, 80, 400, -2.8873, 2.3995, 0.7917, -1.6469, -1.3272, 1.3282, -2.0996, -0.0499, 0.9669
3, 48.7297, 19.1849, 10, 1.6764, 80, 400, -2.8845, 2.3975, 0.7916, -1.6459, -1.3309, 1.3298, -2.0255, -0.2784, 1.0360
4, 57.5620, 22.6622, 10, 1.6764, 80, 400, -2.8877, 2.4004, 0.7916, -1.6409, -1.3406, 1.3370, -2.1425, 0.0795, 0.9015
5, 55.9911, 22.0437, 10, 1.6764, 80, 400, -2.8849, 2.4001, 0.7940, -1.6415, -1.3536, 1.3430, -2.0074, -0.3438, 1.0388
6, 51.0273, 20.0895, 10, 1.6764, 80, 400, -2.8865, 2.3993, 0.7917, -1.6519, -1.3208, 1.3257, -1.9852, -0.3877, 1.0591
7, 45.0740, 17.7457, 10, 1.6764, 80, 400, -2.8866, 2.3992, 0.7920, -1.6650, -1.2756, 1.3020, -1.9543, -0.4906, 1.0953
8, 48.2496, 18.9959, 10, 1.6764, 80, 400, -2.8872, 2.3996, 0.7916, -1.6635, -1.2961, 1.3147, -1.9567, -0.5090, 1.0991
9, 56.9846, 22.4349, 10, 1.6764, 80, 400, -2.8866, 2.3994, 0.7917, -1.6505, -1.3384, 1.3388, -2.2946, 0.5279, 0.7681
10, 60.3112, 23.7446, 10, 1.6764, 80, 400, -2.8865, 2.3993, 0.7918, -1.6476, -1.3646, 1.3522, -2.2544, 0.3871, 0.7970
