trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 71.4667, 28.1365, 10, 1.6764, 80, 500, -0.5013, 2.3986, 0.8057, -1.4520, -2.3569, 1.2826, -1.3109, -1.4652, 1.0619
2, 82.3185, 32.4088, 10, 1.6764, 80, 500, -0.5014, 2.3986, 0.8058, -1.4519, -2.3620, 1.2836, -1.2222, -0.9901, 0.9063
3, 80.6790, 31.7634, 10, 1.6764, 80, 500, -0.5012, 2.3986, 0.8058, -1.4569, -2.3832, 1.2975, -1.2744, -1.2742, 0.9956
4, 88.3763, 34.7938, 10, 1.6764, 80, 500, -0.5012, 2.3986, 0.8056, -1.4520, -2.3747, 1.2880, -1.1845, -0.8140, 0.8351
5, 72.8297, 28.6731, 10, 1.6764, 80, 500, -0.5014, 2.3986, 0.8056, -1.4476, -2.3641, 1.2760, -1.2930, -1.3907, 1.0333
6, 60.7957, 23.9353, 10, 1.6764, 80, 500, -0.5002, 2.3989, 0.8051, -1.4521, -2.3733, 1.2805, -1.3237, -1.5208, 1.0941
7, 64.1389, 25.2515, 10, 1.6764, 80, 500, -0.5003, 2.3989, 0.8053, -1.4566, -2.3840, 1.2861, -1.3154, -1.4413, 1.0725
8, 65.2188, 25.6767, 10, 1.6764, 80, 500, -0.5012, 2.3986, 0.8055, -1.4580, -2.3940, 1.2914, -1.2933, -1.3581, 1.0497
9, 78.9449, 31.0807, 10, 1.6764, 80, 500, -0.5013, 2.3987, 0.8054, -1.4627, -2.4081, 1.2960, -1.2982, -1.3490, 1.0166
10, 80.1048, 31.5373, 10, 1.6764, 80, 500, -0.5003, 2.3990, 0.8050, -1.4591, -2.3958, 1.2890, -1.2116, -0.8824, 0.8832
11, 243.1595, 95.7321, 10, 1.6764, 80, 500, -0.5003, 2.3989, 0.8053, -0.9398, -0.0534, -0.3458, -1.4582, -1.9607, 1.1652
12, 71.6802, 28.2205, 10, 1.6764, 80, 500, -0.5004, 2.3989, 0.8052, -1.4417, -2.3818, 1.2800, -1.2974, -1.3718, 1.0361
13, 63.6092, 25.0430, 10, 1.6764, 80, 500, -0.5013, 2.3986, 0.8057, -1.4370, -2.3828, 1.2799, -1.3358, -1.5912, 1.1100
14, 72.4031, 28.5051, 10, 1.6764, 80, 500, -0.5002, 2.3989, 0.8051, -1.4313, -2.3715, 1.2727, -1.2886, -1.3372, 1.0236
15, 80.5164, 31.6994, 10, 1.6764, 80, 500, -0.5004, 2.3989, 0.8051, -1.4401, -2.4197, 1.2958, -1.2412, -1.0989, 0.9434
