trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 182.6433, 71.9068, 10, 1.6256, 80, 500, -1.4934, 2.4201, 0.7949, -1.5208, -2.3528, 1.3470, -1.5087, -2.2222, 1.2760
2, 379.2538, 149.3125, 10, 1.6256, 80, 500, -1.4933, 2.4203, 0.7953, -1.4848, -2.3119, 1.2953, -1.5350, -2.3761, 1.3849
3, 57.9419, 22.8118, 10, 1.6256, 80, 500, -1.4933, 2.4202, 0.7949, -1.4397, -2.2009, 1.2209, -1.4431, -1.6426, 1.0978
4, 475.5524, 187.2253, 10, 1.6256, 80, 500, -1.4935, 2.4203, 0.7947, -1.4993, -2.3373, 1.3201, -1.5322, -2.3388, 1.3593
5, 47.1864, 18.5773, 10, 1.6256, 80, 500, -1.4934, 2.4202, 0.7949, -1.4810, -2.3121, 1.2984, -1.4804, -1.8805, 1.2085
6, 177.2718, 69.7920, 10, 1.6256, 80, 500, -1.4934, 2.4202, 0.7949, -1.5058, -1.8308, 1.1625, -1.5238, -1.8955, 1.1931
7, 83.3378, 32.8101, 10, 1.6256, 80, 500, -1.4934, 2.4202, 0.7948, -1.4931, -2.3189, 1.3119, -1.4482, -1.6208, 1.1163
8, 400.6762, 157.7465, 10, 1.6256, 80, 500, -1.4934, 2.4203, 0.7948, -1.5007, -1.7566, 1.1221, -1.5055, -1.7612, 1.1112
9, 130.3207, 51.3074, 10, 1.6256, 80, 500, -1.4932, 2.4204, 0.7947, -1.4745, -2.2951, 1.2909, -1.1907, -0.2476, 0.5438
10, 86.4682, 34.0426, 10, 1.6256, 80, 500, -1.4933, 2.4202, 0.7949, -1.4586, -2.2591, 1.2631, -1.4055, -1.4490, 1.0382
11, 123.8652, 48.7658, 10, 1.6256, 80, 500, -1.4933, 2.4202, 0.7949, -1.4653, -2.2992, 1.2886, -1.2225, -0.3825, 0.6161
12, 109.5986, 43.1491, 10, 1.6256, 80, 500, -1.4936, 2.4203, 0.7948, -1.5072, -2.4791, 1.3988, -1.4219, -1.5933, 1.0966
13, 106.2790, 41.8421, 10, 1.6256, 80, 500, -1.4934, 2.4203, 0.7947, -1.4638, -2.3018, 1.2854, -1.3286, -1.0606, 0.8999
