trial, min_dist_cm, min_dist_in, participant_id, participant_height_cm, target_height_cm, standoff_dist_cm, Tqb_x_m, Tqb_y_m, Tqb_z_m, Tpy_x_m, Tpy_y_m, Tpy_z_m, Tpp_x_m, Tpp_y_m, Tpp_z_m
1, 101.2622, 39.8670, 10, 1.6256, 80, 400, -2.8936, 2.4068, 0.1394, -1.5560, -1.3115, 1.1428, -1.7811, -0.2431, 0.5962
2, 174.2326, 68.5955, 10, 1.6256, 80, 400, -2.8991, 2.4348, 1.4371, -1.5559, -1.2998, 1.1318, -1.7157, -0.7237, 0.8997
3, 67.9079, 26.7354, 10, 1.6256, 80, 400, -2.8943, 2.4083, 0.1390, -1.5582, -1.3035, 1.1363, -1.7300, -0.6535, 0.8571
4, 65.5732, 25.8162, 10, 1.6256, 80, 400, -2.8943, 2.4085, 0.1419, -1.5564, -1.3067, 1.1425, -1.7294, -0.6532, 0.8668
5, 50.2567, 19.7861, 10, 1.6256, 80, 400, -2.8936, 2.4067, 0.1394, -1.5529, -1.2954, 1.1255, -1.7114, -0.7360, 0.9138
6, 53.5548, 21.0846, 10, 1.6256, 80, 400, -2.8944, 2.4083, 0.1396, -1.5531, -1.2983, 1.1330, -1.7135, -0.7122, 0.9080
7, 45.5351, 17.9272, 10, 1.6256, 80, 400, -2.8938, 2.4066, 0.1392, -1.5515, -1.2899, 1.1221, -1.7126, -0.7195, 0.9170
8, 60.9658, 24.0023, 10, 1.6256, 80, 400, -2.8946, 2.4084, 0.1390, -1.5580, -1.3063, 1.1373, -1.7399, -0.6435, 0.8639
9, 54.5923, 21.4930, 10, 1.6256, 80, 400, -2.8945, 2.4087, 0.1392, -1.5596, -1.3068, 1.1416, -1.7249, -0.7029, 0.9053
10, 71.9484, 28.3261, 10, 1.6256, 80, 400, -2.8942, 2.4081, 0.1396, -1.5616, -1.3154, 1.1460, -1.7465, -0.5706, 0.8226
